Feature,Mean,Variance,Scale_StdDev
Age,54.614634146341466,82.80027364663891,9.099465569286963
Sex,0.6951219512195121,0.2119274241522903,0.46035575824821645
cp,0.9292682926829269,1.04377751338489,1.021654302288641
trestbps,132.34878048780487,322.41249851279,17.955848587933403
chol,247.93414634146342,2644.5102974419992,51.42480235685888
fbs,0.15365853658536585,0.13004759071980965,0.3606211179615105
restecg,0.5146341463414634,0.2741760856632956,0.5236182633018979
thalach,149.3780487804878,509.8180547293277,22.579150885924115
exang,0.3402439024390244,0.22447798929208804,0.4737910819043432
oldpeak,1.0779268292682926,1.3929883848899463,1.1802492892986407
slope,1.3731707317073172,0.3900118976799524,0.6245093255348173
ca,0.7451219512195122,1.043573765615705,1.0215545827882644
thal,2.3402439024390245,0.3659414039262344,0.6049309083905652
